New line,Div Class,Image Path,Img Class,Title,Available?,Dimensions,Media,Price
TRUE,col-sm-12,img/Red_Bouquet_II.jpg,landscape,Red Bouquet II,TRUE,"18"" x 22""","<b>Available at the Wakefill Mill</b><br/>Watercolour, framed",550
TRUE,col-sm-4,img/Burst_of_Spring.jpg,portrait,Burst of Spring,TRUE,"20"" x 24""",<b>Available at the Wakefill Mill</b><br/>Watercolour Collage,550
FALSE,col-sm-4,img/Bright_Moment.jpg,portrait,Bright Moment,TRUE,"14"" x 17""","Watercolour Collage, framed",250
FALSE,col-sm-4,img/Bouquet_Pour_Vous.jpg,portrait,Bouquet Pour Vous,TRUE,"20"" x 24""",Watercolour Collage,500
