New line,Div Class,Image Path,Img Class,Title,Available?,Dimensions,Media,Price,Price_str
TRUE,col-sm-3,img/Herridge_Through_the_Trees.jpg,portrait,Herridge Through the Trees,FALSE,,,,
FALSE,col-sm-3,img/First-Ski.jpg,portrait,First Ski,FALSE,,,,
FALSE,col-sm-3,img/Chelsea_Morning.jpg,portrait,Chelsea Morning,FALSE,,,,
FALSE,col-sm-3,img/Coastal_Sky.jpg,portrait,Coastal Sky,FALSE,,,,
TRUE,col-sm-3,img/Ottawa_River_Through_The_Trees.jpg,landscape,"Ottawa River, Through the Trees",FALSE,,,,
FALSE,col-sm-3,img/Through_the_Trees.jpg,landscape,Through the Trees,FALSE,,,,
FALSE,col-sm-3,img/Sunrise.jpg,landscape,Sunrise,FALSE,,,,
FALSE,col-sm-3,img/Winter_Light.jpg,landscape,Winter Light,FALSE,,,,
TRUE,col-sm-3,img/The_November_Landscape.jpg,landscape,The November Landscape,FALSE,,,,
FALSE,col-sm-3,img/View_of_the_Ottawa_River.jpg,landscape,View of the Ottawa River,FALSE,,,,
FALSE,col-sm-3,img/Grand_Canyon.jpg,landscape,Grand Canyon,FALSE,,,,
FALSE,col-sm-3,img/Greenstone_Trail_NZ.jpg,landscape,"Greenstone Trail, New Zealand",FALSE,,,,
TRUE,col-sm-3,img/Homeward.jpg,landscape,Homeward,FALSE,,,,
FALSE,col-sm-3,img/The_Trees_Around_You_2.jpg,landscape,The Trees Around You II,FALSE,,,,
FALSE,col-sm-3,img/Late_Afternoon_Surf_1.jpg,landscape,Late Afternoon Surf,FALSE,,,,
FALSE,col-sm-3,img/Winter_Stream_Gatineau.jpg,landscape,"Winter Stream, Gatineau",FALSE,,,,
